Date,Ad Spend ($),Website Traffic,Conversion Rate (%),Product Returns,Net Promoter Score,Avg Session Duration (min),Support Tickets,Monthly Active Users
2004-01-31,137454.01,56102,4.83,961,22,2.5,301,93449
2004-02-29,195071.43,100336,3.51,576,83,4.9,624,90233
2004-03-31,173199.39,135314,3.71,881,-39,2.8,591,55537
2004-04-30,159865.85,76641,3.07,802,-69,2.5,413,52612
2004-05-31,115601.86,84584,2.53,923,57,3.7,287,36471
2004-06-30,115599.45,82745,2.65,815,-72,5.2,752,65631
2004-07-31,105808.36,73093,3.85,649,-52,5.0,600,61348
2004-08-31,186617.61,116105,4.13,745,72,2.2,787,94732
2004-09-30,160111.5,101885,4.27,649,-71,3.8,245,31177
2004-10-31,170807.26,86631,4.26,906,43,4.1,662,34760
2004-11-30,102058.45,122991,1.82,963,67,4.6,791,62779
2004-12-31,196990.99,54014,3.23,436,-82,4.6,509,51636
2005-01-31,183244.26,61093,1.7,542,-83,3.5,285,83551
2005-02-28,121233.91,68070,3.42,842,-100,4.2,291,41556
2005-03-31,118182.5,85777,3.05,339,-23,3.9,441,57598
2005-04-30,118340.45,106958,4.61,528,14,5.5,201,41563
2005-05-31,130424.22,132074,2.73,847,74,4.1,424,76819
2005-06-30,152475.64,60729,1.91,522,93,3.8,788,56966
2005-07-31,143194.5,149713,2.0,305,12,3.6,315,89889
2005-08-31,129122.91,95017,4.17,621,13,4.3,302,56987
2005-09-30,161185.29,116320,3.66,767,65,5.2,393,88348
2005-10-31,113949.39,77751,1.85,374,78,4.2,365,54596
2005-11-30,129214.46,128069,1.79,303,-38,4.6,289,63174
2005-12-31,136636.18,104748,3.95,945,31,5.0,321,94106
2006-01-31,145607.0,55801,1.75,417,28,4.1,342,99967
2006-02-28,178517.6,69190,4.38,905,-93,3.7,305,89182
2006-03-31,119967.38,99689,3.97,803,56,5.5,627,69310
2006-04-30,151423.44,100993,1.78,873,-46,3.7,504,86088
2006-05-31,159241.46,79592,1.8,740,2,3.8,516,38906
2006-06-30,104645.04,60647,4.95,493,30,6.0,208,66914
2006-07-31,160754.49,58716,2.81,691,-69,2.0,272,75379
2006-08-31,117052.41,138891,2.8,325,-91,2.7,558,67650
2006-09-30,106505.16,137545,4.34,734,9,3.5,422,76881
2006-10-31,194888.55,139912,4.82,472,61,5.7,615,76413
2006-11-30,196563.2,120316,4.95,599,23,2.3,752,36012
2006-12-31,180839.73,52368,4.14,944,-14,2.0,569,80115
2007-01-31,130461.38,127575,2.82,625,-46,2.2,463,37151
2007-02-28,109767.21,56655,1.79,709,-69,2.4,517,87716
2007-03-31,168423.3,120031,4.22,417,77,2.2,283,66378
2007-04-30,144015.25,126429,3.45,524,34,3.9,517,72652
2007-05-31,112203.82,141083,2.98,831,-8,4.3,310,43467
2007-06-30,149517.69,137922,4.67,412,-93,3.1,450,61010
2007-07-31,103438.85,105766,1.89,439,-36,3.6,582,84691
2007-08-31,190932.04,63403,3.22,858,-44,2.4,206,94157
2007-09-30,125878.0,82097,1.54,300,-34,3.3,658,42289
2007-10-31,166252.23,128657,3.14,389,86,4.1,283,74976
2007-11-30,131171.11,60966,1.7,953,-29,4.9,407,73596
2007-12-31,152006.8,149157,1.92,619,-47,2.0,589,53171
2008-01-31,154671.03,143848,1.91,849,-34,3.9,513,74139
2008-02-29,118485.45,102921,3.77,438,-50,3.2,221,78713
2008-03-31,196958.46,99726,4.11,810,-4,5.4,609,59734
2008-04-30,177513.28,100300,3.54,558,-9,4.9,714,93646
2008-05-31,193949.89,72677,4.87,972,-93,4.4,326,33654
2008-06-30,189482.74,105609,2.81,989,61,3.1,213,48743
2008-07-31,159790.0,146825,2.5,309,-66,5.6,211,78368
2008-08-31,192187.42,106661,4.54,560,-5,2.2,286,36441
2008-09-30,108849.25,81024,2.28,949,-13,2.4,723,54611
2008-10-31,119598.29,120313,4.87,471,-23,3.6,736,42149
2008-11-30,104522.73,103006,1.54,312,-69,2.5,500,89189
2008-12-31,132533.03,145285,4.89,467,19,5.8,442,51675
2009-01-31,138867.73,65338,1.65,941,-55,5.2,321,72668
2009-02-28,127134.9,118027,4.62,895,43,3.0,346,43673
2009-03-31,182873.75,142772,3.35,620,95,4.4,766,95429
2009-04-30,135675.33,130135,4.98,618,64,5.9,555,53669
2009-05-31,128093.45,69508,1.76,912,81,5.5,508,64068
2009-06-30,154269.61,53051,3.44,628,41,4.4,487,39435
2009-07-31,114092.42,98747,4.89,849,-46,5.6,506,82249
2009-08-31,180219.7,137142,3.33,718,75,6.0,793,67384
2009-09-30,107455.06,137235,3.7,905,-94,5.0,748,61401
2009-10-31,198688.69,104021,3.94,394,-27,2.3,551,64084
2009-11-30,177224.48,116412,3.09,880,-94,3.6,511,85826
2009-12-31,119871.57,108335,3.7,617,60,5.4,258,66451
2010-01-31,100552.21,106179,3.55,535,50,2.9,234,37227
2010-02-28,181546.14,82093,4.65,633,-16,5.3,644,61910
2010-03-31,170685.73,119678,1.66,675,46,2.5,292,66041
2010-04-30,172900.72,130738,2.48,758,11,2.2,406,95681
2010-05-31,177127.03,89734,4.83,436,24,3.5,552,95481
2010-06-30,107404.47,122615,4.62,887,46,2.1,531,98576
2010-07-31,135846.57,123523,3.09,846,-65,5.8,358,94174
2010-08-31,111586.91,144476,3.67,812,-72,5.3,223,56160
2010-09-30,186310.34,67019,2.47,595,87,5.2,603,47633
2010-10-31,162329.81,133613,2.16,619,-19,4.5,715,47014
2010-11-30,133089.8,141794,3.12,871,-99,2.9,563,79104
2010-12-31,106355.84,136672,2.74,648,28,4.1,581,71621
2011-01-31,131098.23,123847,3.54,528,-54,4.4,731,98388
2011-02-28,132518.33,132750,1.77,569,96,4.1,351,46014
2011-03-31,172960.62,129634,4.91,590,47,3.0,761,63755
2011-04-30,163755.75,78251,4.95,464,-90,4.1,619,70390
2011-05-31,188721.27,75945,3.94,304,29,4.0,449,53711
2011-06-30,147221.49,140852,3.38,678,94,6.0,316,87993
2011-07-31,111959.42,82217,2.58,377,18,5.6,711,57213
2011-08-31,171324.48,58308,4.35,709,39,3.9,777,87784
2011-09-30,176078.5,55949,3.9,873,-81,4.5,534,37421
2011-10-31,156127.72,101990,2.07,431,-96,5.0,617,47727
2011-11-30,177096.72,51150,4.69,900,-64,2.1,494,34358
2011-12-31,149379.56,139480,4.38,341,65,5.6,570,95108
2012-01-31,152273.28,124740,4.82,388,36,5.4,385,62117
2012-02-29,142754.1,116617,4.04,701,-48,3.8,445,61910
2012-03-31,102541.91,144841,3.65,595,71,3.6,467,85754
2012-04-30,110789.14,66896,2.96,594,-2,3.1,436,92438
2012-05-31,103142.92,96175,4.76,915,-15,3.9,729,59371
2012-06-30,163641.04,57805,4.53,825,7,2.2,751,81501
2012-07-31,131435.6,55237,1.66,990,-77,5.4,220,90946
2012-08-31,150857.07,70056,1.59,936,-20,2.1,719,68467
2012-09-30,190756.65,95543,2.82,721,57,3.3,299,47625
2012-10-31,124929.22,106556,4.34,322,19,5.7,677,63893
2012-11-30,141038.29,53343,4.96,874,-42,4.9,798,61007
2012-12-31,175555.11,63500,2.03,442,27,3.1,497,69532
2013-01-31,122879.82,103222,3.58,964,13,3.0,725,84253
2013-02-28,107697.99,79375,2.83,444,14,2.0,533,42323
2013-03-31,128975.15,59662,4.89,524,-87,4.8,201,44210
2013-04-30,116122.13,66964,4.45,802,-92,2.2,574,46456
2013-05-31,192969.77,109638,4.43,915,-61,4.1,492,61367
2013-06-30,180812.04,123666,3.14,403,93,5.8,752,84624
2013-07-31,163340.38,135067,2.95,338,-76,2.4,517,40106
2013-08-31,187146.06,117215,2.46,497,2,5.6,701,98008
2013-09-30,180367.21,119042,1.7,945,-79,6.0,580,94315
2013-10-31,118657.01,63284,4.53,878,-97,2.2,213,99249
2013-11-30,189255.9,122789,4.35,690,53,5.5,703,40756
2013-12-31,153934.22,134664,5.0,478,85,4.1,430,98011
2014-01-31,180744.02,143468,4.99,853,-72,5.6,283,66378
2014-02-28,189609.13,111389,3.44,747,8,4.3,329,34255
2014-03-31,131800.35,59435,4.19,799,-3,4.6,344,44484
2014-04-30,111005.19,104340,4.81,314,-64,4.2,227,86549
2014-05-31,122793.52,94078,4.47,922,-26,5.5,265,64503
2014-06-30,142710.78,128832,2.37,968,-31,4.9,362,75113
2014-07-31,181801.48,101293,3.08,588,45,4.1,428,35249
2014-08-31,186073.06,145981,1.95,777,27,5.5,460,49201
2014-09-30,100695.21,128781,4.84,530,-16,3.0,648,88576
2014-10-31,151074.73,110403,3.62,719,-59,2.6,623,39686
2014-11-30,141741.1,79124,2.3,456,-1,2.6,659,83363
2014-12-31,122210.78,145435,3.85,849,-60,3.3,500,30661
2015-01-31,111986.54,93919,3.66,740,65,3.0,502,74843
2015-02-28,133761.52,85247,2.75,396,-67,5.7,486,90963
2015-03-31,194290.97,144758,1.9,710,-84,2.4,594,72828
2015-04-30,132320.29,141747,3.85,588,64,4.8,209,78604
2015-05-31,151879.06,112752,3.32,553,52,2.8,469,40526
2015-06-30,170301.9,106573,4.2,495,21,5.5,791,98910
2015-07-31,136362.96,109101,3.32,897,-25,5.8,560,55592
2015-08-31,197178.21,76646,4.48,821,-14,3.9,456,58982
2015-09-30,196244.73,73049,3.43,816,16,5.5,332,30207
2015-10-31,125178.23,129605,3.46,934,5,2.0,475,98619
2015-11-30,149724.85,148116,4.57,417,-15,5.3,712,59328
2015-12-31,130087.83,147379,2.91,458,-74,2.9,512,76479
2016-01-31,128484.05,118385,1.97,527,-44,5.6,775,50103
2016-02-29,103688.69,90158,1.6,515,-70,2.0,483,69891
2016-03-31,160956.43,115417,4.14,995,33,4.2,320,40754
2016-04-30,150267.9,73289,3.67,314,67,5.0,306,85922
2016-05-31,105147.88,59823,3.96,456,-3,3.0,403,78231
2016-06-30,127864.65,110160,2.25,947,-89,2.8,364,59301
2016-07-31,190826.59,91975,1.98,560,-48,2.3,504,92711
2016-08-31,123956.19,59540,1.55,456,98,3.3,696,71323
2016-09-30,114489.49,66364,2.73,346,37,4.2,755,48752
2016-10-31,148945.28,54611,3.56,623,72,2.5,355,43395
2016-11-30,198565.05,77663,2.87,984,44,3.5,566,86273
2016-12-31,124205.53,101991,3.03,429,53,2.0,450,34895
2017-01-31,167213.55,107679,4.66,710,89,5.3,533,40699
2017-02-28,176161.96,80977,2.72,394,21,2.5,710,95061
2017-03-31,123763.75,144704,3.3,926,-55,3.1,492,39715
2017-04-30,172821.63,99115,4.24,591,-37,2.1,219,49169
2017-05-31,136778.31,141007,2.89,582,29,3.7,481,46163
2017-06-30,163230.58,138223,3.68,368,-47,5.4,200,35782
2017-07-31,163352.97,110890,4.52,959,6,3.6,318,65585
2017-08-31,153577.47,116387,4.82,310,92,2.7,234,60682
2017-09-30,109028.98,68071,2.01,553,-50,5.0,397,77864
2017-10-31,183530.25,109275,4.74,849,80,5.2,684,85114
2017-11-30,132078.01,122369,3.22,433,-65,2.7,258,68067
2017-12-31,118651.85,61938,2.4,322,14,5.1,360,72685
2018-01-31,104077.51,85195,3.11,645,-75,5.8,405,48073
2018-02-28,159089.29,141680,4.93,601,-72,2.7,211,66035
2018-03-31,167756.44,54000,3.22,662,48,5.1,689,94977
2018-04-30,101658.78,120588,2.65,695,-90,4.8,475,95450
2018-05-31,151209.31,143610,3.72,517,-61,3.9,441,40382
2018-06-30,122649.58,147856,2.34,440,-90,2.2,415,34437
2018-07-31,164517.28,88304,1.77,915,63,2.3,450,94612
2018-08-31,117436.64,119449,1.95,509,12,5.4,325,91929
2018-09-30,169093.77,132986,1.95,922,86,6.0,416,42329
2018-10-31,138673.53,139643,2.03,915,-62,4.7,505,55169
2018-11-30,193673.0,70764,1.99,982,-47,3.8,384,64594
2018-12-31,113752.09,136027,3.74,759,-3,4.6,238,90631
2019-01-31,134106.64,88494,2.14,655,-46,4.4,422,75033
2019-02-28,111347.35,53373,2.71,623,10,3.5,383,93133
2019-03-31,192469.36,62161,4.64,432,51,2.3,694,82290
2019-04-30,187733.94,147532,3.16,426,49,5.3,626,61750
2019-05-31,125794.16,142658,3.84,405,-32,3.5,377,70461
2019-06-30,165998.4,77350,2.1,903,-45,5.3,627,54226
2019-07-31,181722.22,143008,2.17,677,-68,3.0,493,36721
2019-08-31,155520.08,144297,1.64,350,-65,2.0,350,86154
2019-09-30,152965.06,75351,2.09,328,47,2.6,583,50609
2019-10-31,124185.23,138668,2.48,761,-20,3.9,507,82130
2019-11-30,109310.28,65305,2.12,595,89,5.8,535,85249
2019-12-31,189721.58,125353,1.81,596,8,2.4,574,78895
2020-01-31,190041.81,126797,1.92,706,53,5.4,207,35656
2020-02-29,163310.15,115953,3.11,912,93,4.1,540,93740
2020-03-31,133902.98,107458,2.22,704,-28,5.3,328,94309
2020-04-30,134920.96,70358,2.77,645,-61,3.2,551,59984
2020-05-31,172595.57,53267,3.26,921,-84,5.4,557,35901
2020-06-30,189711.03,132745,3.92,719,28,5.1,716,61552
2020-07-31,188708.64,139588,1.64,481,-40,2.9,694,61055
2020-08-31,177987.55,88513,4.3,300,70,2.5,285,67685
2020-09-30,164203.16,76092,3.7,866,3,5.5,374,44716
2020-10-31,108414.0,61338,1.79,670,-59,5.9,392,41138
2020-11-30,116162.87,50412,4.56,960,-76,2.1,510,65298
2020-12-31,189855.42,57543,4.72,730,-62,4.9,318,81112
2021-01-31,160642.91,83496,1.71,608,-66,5.6,417,53429
2021-02-28,100919.71,110692,2.47,436,30,5.4,626,80200
2021-03-31,110147.15,139084,4.32,501,7,5.9,613,78244
2021-04-30,166350.18,142920,4.12,735,71,5.0,313,47347
2021-05-31,100506.16,94425,2.15,612,78,3.8,344,46920
2021-06-30,116080.81,88756,2.23,416,1,3.2,737,61822
2021-07-31,154873.38,68888,2.8,965,-3,3.3,502,76659
2021-08-31,169189.52,85735,3.2,874,-89,4.9,787,70108
2021-09-30,165196.13,97295,3.66,543,-82,5.0,544,37967
2021-10-31,122426.93,133042,2.79,836,0,2.8,200,41871
2021-11-30,171217.92,135999,3.12,901,-57,5.5,346,63613
2021-12-31,123724.91,67955,4.12,374,86,4.9,486,58179
2022-01-31,132539.97,87841,1.63,685,-52,4.3,252,82188
2022-02-28,174649.14,120640,2.38,509,88,3.9,503,85099
2022-03-31,164963.29,115510,4.0,774,-84,4.2,268,65262
2022-04-30,184922.34,84911,4.63,717,-27,2.6,560,48268
2022-05-31,165761.29,109031,3.29,646,-44,2.8,419,90545
2022-06-30,156830.86,138726,3.36,828,-46,2.4,774,69922
2022-07-31,109367.48,57357,1.88,939,-54,2.6,784,72913
2022-08-31,136771.58,82479,3.07,478,-89,3.8,360,85677
2022-09-30,126520.24,111476,3.36,481,-39,4.1,288,79841
2022-10-31,124398.96,94811,2.35,963,-21,2.1,784,76332
2022-11-30,197301.06,86208,2.44,324,-18,5.2,788,55032
2022-12-31,139309.77,70150,2.82,479,-93,3.2,358,67846
2023-01-31,189204.66,121180,1.57,800,48,5.6,688,89474
