Date,Revenue,Expenses,Profit,Employee_Count,Customer_Count,Inventory_Level,Marketing_Spend,Operational_Cost
2004-01-01,50248.36,30636.65,19869.87,150.74,1010.5,20111.67,4964.16,11970.47
2004-02-01,50179.22,30946.39,19772.45,151.02,1005.14,20126.87,4870.83,11869.28
2004-03-01,50503.07,30490.58,19653.97,149.73,1018.32,20234.62,4866.7,12129.8
2004-04-01,51264.58,30345.31,19481.17,150.78,1020.29,20050.48,4860.61,12108.69
2004-05-01,51147.51,30725.38,19490.87,149.92,1041.05,20084.36,4936.28,12123.47
2004-06-01,51030.44,30513.08,19324.68,150.1,1034.15,19801.61,4967.82,12189.65
2004-07-01,51820.05,30646.22,19378.78,153.94,1051.51,19779.37,4916.61,12194.88
2004-08-01,52203.76,30878.61,19368.73,153.8,1053.49,19598.59,5009.32,12398.29
2004-09-01,51969.03,30600.53,19320.94,155.52,1046.98,19451.48,5070.37,12323.57
2004-10-01,52240.31,30582.68,19139.43,154.46,1042.14,19698.7,5099.48,12346.93
2004-11-01,52008.6,29610.3,19024.07,154.41,1038.94,19916.96,5088.15,12257.83
2004-12-01,51775.73,29302.98,19175.15,157.07,1043.18,20038.79,5040.18,12099.43
2005-01-01,51896.71,29227.21,19275.33,156.13,1048.41,19820.33,5021.57,12026.01
2005-02-01,50940.07,28852.88,19079.82,158.85,1042.67,19757.04,5076.01,12021.57
2005-03-01,50077.61,29342.6,19099.69,159.91,1042.43,19999.66,5170.24,11970.05
2005-04-01,49796.47,28913.56,19249.97,159.06,1063.85,20028.01,5247.4,11886.96
2005-05-01,49290.05,28781.54,18916.08,160.01,1081.12,20491.87,5222.96,11718.21
2005-06-01,49447.18,28820.76,19024.76,161.47,1085.49,20570.54,5166.97,11708.23
2005-07-01,48993.17,29253.15,18892.23,162.4,1085.87,20608.95,5174.02,11527.67
2005-08-01,48287.01,28822.39,19006.35,160.05,1087.07,20547.12,5085.6,11618.87
2005-09-01,49019.84,29171.34,18853.7,158.96,1093.2,20573.83,5101.76,11628.77
2005-10-01,48906.95,29174.41,18492.72,158.59,1082.97,20543.34,5094.38,11453.86
2005-11-01,48940.71,28879.95,18167.21,158.48,1080.4,20684.96,5071.07,11416.75
2005-12-01,48228.34,29018.59,18176.83,159.41,1063.71,20876.3,4991.34,11326.5
2006-01-01,47956.15,29078.3,18228.78,159.67,1067.71,20719.1,5017.02,11364.8
2006-02-01,48011.61,28898.24,18047.91,157.67,1074.18,20452.85,4990.38,11525.65
2006-03-01,47436.11,28919.18,18175.63,158.24,1069.35,20085.61,4931.89,11300.63
2006-04-01,47623.96,28803.59,17843.33,159.16,1085.09,20187.21,4788.27,11314.43
2006-05-01,47323.64,28837.64,17830.11,160.0,1072.83,19966.54,4786.9,11295.22
2006-06-01,47177.8,29036.28,17587.91,161.62,1058.19,19535.96,4875.51,11375.78
2006-07-01,46876.94,29512.08,17457.54,162.87,1060.43,19613.68,4958.57,11401.36
2006-08-01,47803.08,29140.74,17467.02,163.56,1070.9,20112.28,4935.72,11311.13
2006-09-01,47796.33,29780.65,17294.94,163.45,1087.74,20111.06,4905.61,11272.84
2006-10-01,47267.48,29195.02,17218.03,160.96,1083.15,20278.76,4929.05,11177.32
2006-11-01,47678.75,29149.49,17419.29,161.6,1093.94,20295.13,4879.13,11306.44
2006-12-01,47068.33,29325.98,17303.91,161.92,1093.55,20275.35,4894.22,11308.99
2007-01-01,47172.76,29410.28,17471.05,162.32,1091.83,20459.16,4932.52,11537.14
2007-02-01,46192.93,29223.47,17245.1,160.41,1100.66,20401.11,4993.87,11529.86
2007-03-01,45528.83,29161.03,17351.06,158.79,1107.19,20454.59,4988.86,11444.85
2007-04-01,45627.26,29013.13,17639.38,160.37,1091.42,20518.93,4978.68,11263.2
2007-05-01,45996.5,28836.32,17145.05,160.31,1106.19,20385.31,4934.78,11046.83
2007-06-01,46082.18,29091.21,16985.67,161.33,1119.99,20583.72,4893.43,10856.73
2007-07-01,46024.36,29198.31,17101.09,161.37,1113.73,20548.72,4882.11,10888.78
2007-08-01,45873.8,28990.44,17060.48,161.42,1117.69,20397.58,4900.48,10949.83
2007-09-01,45134.54,29260.32,17134.71,162.82,1122.63,20504.88,4946.16,10760.09
